langCode	categoryNames	redirectNames	disambiguationCategoryNames	mainTemplates	mainInlines	seeAlsoTemplates	seeAlsoInlines	seeAlsoHeaders	topLevelCategoryNames	alternativeArticleNamespaces
dsb	Category,Kategorie,Kategorija	#WEITERLEITUNG,#REDIRECT		\QHauptartikel\E	\Q→ Hauptartikel\E,\QHauptartikel\E	\QSiehe auch\E	\QSiehe auch\E	\QSiehe auch\E		
as	Category,শ্ৰেণী,শ্রেণী,श्रेणी	#REDIRECT								
bjn	Category,Kategori,Tumbung	#REDIRECT,#ALIH		\Qutama\E,\Qmain article\E,\QMain\E		\QSee\E,\Qvandal\E,\Qsee also\E		\QLihat pula\E		
pap	Category	#REDIRECT								
tpi	Category	#REDIRECT								
lbe	Category,Категория	#перенапр,#перенаправление,#REDIRECT		\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
mdf	Category,Категорие,Категория	#REDIRECT								
wo	Category,Wàll,Catégorie	#REDIRECT,#REDIRECTION		\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
jbo	Category	#REDIRECT								
kab	Category,Taggayt	#REDIRECT								
sn	Category	#REDIRECT								
av	Category,Категория	#перенапр,#перенаправление,#REDIRECT		\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
cbk-zam	Category	#REDIRECT								
ty	Category,Catégorie	#REDIRECT,#REDIRECTION		\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
srn	Category,Categorie,Guru	#DOORVERWIJZING,#REDIRECT,#STIR		\QZie hoofdartikel\E		\QZie ook\E	\QZie ook\E	\QZie ook\E		
kbd	Category	#REDIRECT								
lo	Category,ໝວດ	#REDIRECT								
lez	Category,Категория	#перенапр,#перенаправление,#REDIRECT		\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
ab	Акатегориа,Category,Категория	#перенапр,#перенаправление,#REDIRECT		\Qосновная статья\E,\QMain\E,\Qmain\E	\QОсновная статья\E	\Qсмотри также\E,\QСм. также\E,\Qsee\E,\Qalso\E,\Qsee also\E	\QСм. также\E	\QСм. Также\E		
mwl	Category,Catadorie,Categoria	#ANCAMINAR,#REDIRECT,#REDIRECIONAMENTO		\Qprincipal\E,\QVer artigo principal\E,\QAP\E,\QArtigo principal\E,\QMain\E	\QVer artigos principais\E	\QVertambém\E,\QAnexo\E,\Qver anexo\E,\QVer página anexa\E		\QVer também\E		
ltg	Category,Kategoreja,Kategorija	#REDIRECT								
na	Category	#REDIRECT								
ig	Category,Òtù,Ébéonọr	#REDIRECT,#KÚFÙ								
kg	Category	#REDIRECT								
tet	Category,Kategoria	#REDIRECT								
za	Category,分类	#REDIRECT,#重定向								
kaa	Sanat,Category,Kategoriya,سانات,Санат	#АЙДАУ,#AÝDAW,#REDIRECT								
nso	Category,Setensele	#REDIRECT								
zu	Category	#REDIRECT								
rmy	Category,Shopni,Categorie	#REDIRECT,#REDIRECTEAZA		\Qarticolprincipal\E,\QAP\E,\QARP\E,\Qarticol principal\E,\Qmain\E	\QVezi articolul principal\E,\QArticol principal\E,\QArticole principale\E		\QSee also\E,\QVezi și\E,\Qvezi articolul\E	\QVezi și\E		
cu	Катигорї,Category,Катигорїꙗ	#ПРѢНАПРАВЛЄНИѤ,#REDIRECT								
tn	Category	#REDIRECT								
chr	Category	#REDIRECT								
chy	Category	#REDIRECT								
got	Category	#REDIRECT								
sm	Category	#REDIRECT								
bi	Category	#REDIRECT								
mo	Category,Categorie	#REDIRECT,#REDIRECTEAZA		\Qarticolprincipal\E,\QAP\E,\QARP\E,\Qarticol principal\E,\Qmain\E	\QVezi articolul principal\E,\QArticol principal\E,\QArticole principale\E		\QSee also\E,\QVezi și\E,\Qvezi articolul\E	\QVezi și\E		
bm	Category,Catégorie	#REDIRECT,#REDIRECTION		\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
iu	Category	#REDIRECT								
pih	Category	#REDIRECT								
ik	Category	#REDIRECT								
ss	Category	#REDIRECT								
sd	Category,زمرو	#چوريو,#REDIRECT								
pnt	Category,Κατηγορίαν	#REDIRECT								
cdo	Category	#REDIRECT								
ee	Category	#REDIRECT								
ha	Category	#REDIRECT								
ti	Category	#REDIRECT								
bxr	Category	#REDIRECT								
ts	Category	#REDIRECT								
om	Category	#REDIRECT								
ks	Category	#REDIRECT								
ki	Category	#REDIRECT								
ve	Category	#REDIRECT								
sg	Category,Catégorie	#REDIRECT,#REDIRECTION		\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
rn	Category	#REDIRECT								
cr	Category	#REDIRECT								
dz	Category	#REDIRECT								
lg	Category	#REDIRECT								
ak	Category	#REDIRECT								
ff	Category,Catégorie	#REDIRECT,#REDIRECTION		\QLoupe\E,\QArticle détaillé\E,\QArticle connexe\E,\Qloupe\E,\QPrincipal\E		\QVoir\E,\QVoir aussi\E		\QVoir aussi\E,\QVegeu també\E		
tum	Category	#REDIRECT								
fj	Category	#REDIRECT								
st	Category	#REDIRECT								
tw	Category	#REDIRECT								
xh	Category	#REDIRECT								
ch	Category,Katigoria	#REDIRECT								
ny	Category	#REDIRECT								
ng	Category	#REDIRECT								
ii	Category,分类	#REDIRECT,#重定向								
cho	Category	#REDIRECT								
mh	Category	#REDIRECT								
aa	Category	#REDIRECT								
kj	Category	#REDIRECT								
ho	Category	#REDIRECT								
mus	Category	#REDIRECT								
kr	Category	#REDIRECT								
hz	Category	#REDIRECT								
